Alcaldía,Fecha,Predicción de Delitos
TLAHUAC,2024-06-27,16
TLAHUAC,2024-06-28,16
ALVARO OBREGON,2024-01-01,35
ALVARO OBREGON,2024-01-02,34
ALVARO OBREGON,2024-01-03,36
ALVARO OBREGON,2024-01-04,35
ALVARO OBREGON,2024-01-05,36
ALVARO OBREGON,2024-01-06,35
ALVARO OBREGON,2024-01-07,36
ALVARO OBREGON,2024-01-08,36
ALVARO OBREGON,2024-01-09,36
ALVARO OBREGON,2024-01-10,36
ALVARO OBREGON,2024-01-11,35
ALVARO OBREGON,2024-01-12,37
ALVARO OBREGON,2024-01-13,36
ALVARO OBREGON,2024-01-14,35
ALVARO OBREGON,2024-01-15,36
ALVARO OBREGON,2024-01-16,35
ALVARO OBREGON,2024-01-17,36
ALVARO OBREGON,2024-01-18,37
ALVARO OBREGON,2024-01-19,36
ALVARO OBREGON,2024-01-20,37
ALVARO OBREGON,2024-01-21,36
ALVARO OBREGON,2024-01-22,38
ALVARO OBREGON,2024-01-23,39
ALVARO OBREGON,2024-01-24,38
ALVARO OBREGON,2024-01-25,37
ALVARO OBREGON,2024-01-26,38
ALVARO OBREGON,2024-01-27,38
ALVARO OBREGON,2024-01-28,37
ALVARO OBREGON,2024-01-29,38
ALVARO OBREGON,2024-01-30,38
ALVARO OBREGON,2024-01-31,38
ALVARO OBREGON,2024-02-01,38
ALVARO OBREGON,2024-02-02,38
ALVARO OBREGON,2024-02-03,38
ALVARO OBREGON,2024-02-04,38
ALVARO OBREGON,2024-02-05,38
ALVARO OBREGON,2024-02-06,38
ALVARO OBREGON,2024-02-07,38
ALVARO OBREGON,2024-02-08,38
ALVARO OBREGON,2024-02-09,38
ALVARO OBREGON,2024-02-10,38
ALVARO OBREGON,2024-02-11,38
ALVARO OBREGON,2024-02-12,38
ALVARO OBREGON,2024-02-13,38
ALVARO OBREGON,2024-02-14,38
ALVARO OBREGON,2024-02-15,38
ALVARO OBREGON,2024-02-16,38
ALVARO OBREGON,2024-02-17,38
ALVARO OBREGON,2024-02-18,38
ALVARO OBREGON,2024-02-19,38
ALVARO OBREGON,2024-02-20,39
ALVARO OBREGON,2024-02-21,39
ALVARO OBREGON,2024-02-22,39
ALVARO OBREGON,2024-02-23,39
ALVARO OBREGON,2024-02-24,39
ALVARO OBREGON,2024-02-25,39
ALVARO OBREGON,2024-02-26,39
ALVARO OBREGON,2024-02-27,39
ALVARO OBREGON,2024-02-28,39
ALVARO OBREGON,2024-02-29,39
ALVARO OBREGON,2024-03-01,39
ALVARO OBREGON,2024-03-02,39
ALVARO OBREGON,2024-03-03,39
